t,reward,oracle,regret,sales,health,roll_reward,roll_regret,roll_sales,roll_health
12915,11.047529411764707,12.216000000000001,1.1684705882352944,130.0,5.25,7.583710826218523,4.524961208467139,74.64114276865902,5.0923110870238455
12916,4.50710502283105,12.216000000000001,7.708894977168951,50.0,5.26,7.583472643528782,4.525207700204284,74.63923511651312,5.092324069056283
12917,6.913882352941176,12.216000000000001,5.302117647058825,18.0,4.01,7.5834208096310745,4.525267841862966,74.63485059606751,5.092240284873819
12918,12.216000000000001,12.216000000000001,0.0,177.0,4.21,7.583779396146313,4.524917561822571,74.64277420853007,5.092171994736435
12919,8.819744680851064,12.216000000000001,3.3962553191489366,32.0,5.25,7.583875059094045,4.52483020406385,74.63947368421053,5.092184210526316
12920,3.6302499999999998,12.224,8.59375,19.0,5.26,7.583569074645544,4.525145111562955,74.63516755669066,5.09219719835926
12921,5.773422969187675,12.224,6.450577030812325,216.0,4.89,7.583428992142412,4.525294115735626,74.64610741371305,5.092181550843523
12922,10.603978142076503,12.216000000000001,1.612021857923498,307.0,4.35,7.583662726503623,4.5250686826119075,74.66408728623385,5.092124119786428
12923,12.216000000000001,12.216000000000001,0.0,224.0,4.89,7.58402115557152,4.52471855349688,74.67564221603219,5.092108480346642
12924,3.9439411764705885,12.208,8.264058823529412,49.0,4.89,7.583739524625361,4.525007864156071,74.67365570599613,5.092092843326886
12925,10.405818181818182,12.224,1.8181818181818183,19.0,5.25,7.583957850376343,4.524798454745118,74.66934859972149,5.092105059569859
12926,4.3830909090909085,12.224,7.840909090909092,19.0,5.26,7.583710239411596,4.525054980670403,74.66504215982053,5.092118047497486
12927,2.2239999999999998,12.224,10.0,98.0,5.25,7.583295657864612,4.525478475798755,74.66684715346534,5.09213025990099
12928,4.529084745762711,12.216000000000001,7.68691525423729,68.0,5.26,7.583059428387306,4.525722998714559,74.66633150282311,5.092143243870368
12929,8.474,12.224,3.75,60.0,5.25,7.583128333303903,4.525663004669801,74.66519721577727,5.092155452436194
12930,3.206456140350877,12.216000000000001,9.009543859649124,28.0,5.26,7.582789869751746,4.526009759047265,74.66158843090248,5.092168432449153
12931,12.224,12.224,0.0,107.0,5.25,7.5831487632044405,4.525659773758133,74.66408908134859,5.092180637179091
12932,3.2729510489510485,12.216000000000001,8.943048951048953,16.0,5.26,7.582815491905109,4.5260013332707985,74.65955308126497,5.092193613237455
12933,12.224,12.224,0.0,49.0,5.25,7.583174327880685,4.525651402751758,74.65756919746404,5.092205814133292
12934,2.6541075268817202,12.216000000000001,9.56189247311828,5.0,5.26,7.582793263574461,4.526040752660561,74.65218399690761,5.092218786238886
12935,10.001777777777777,12.216000000000001,2.214222222222224,70.0,5.25,7.582980259903636,4.525862040652951,74.65182436611008,5.092230983302411
12936,5.295428571428571,12.224,6.928571428571429,43.0,5.26,7.582803437480471,4.526047764498349,74.64937775372961,5.092243951457061
12937,12.224,12.224,0.0,77.0,5.25,7.583162163447585,4.525697938577458,74.64955943731643,5.092256144690061
12938,3.908210526315789,12.224,8.31578947368421,32.0,5.26,7.58287814214477,4.525990858550802,74.64626323518046,5.092269108895587
12939,7.216,7.216,0.0,452.0,4.31,7.5828497898926726,4.525641091096509,74.67542503863987,5.0922086553323025
12940,3.9713118279569892,12.216000000000001,8.244688172043013,65.0,5.26,7.582570712699106,4.525928475926194,74.6746773819643,5.092221621203926
12941,12.224,12.224,0.0,80.0,5.25,7.582929345776474,4.5255787673436,74.67508885798176,5.092233812393757
12942,5.826484472049689,12.216000000000001,6.389515527950312,58.0,5.26,7.582793639613009,4.525722778528071,74.67380050992814,5.092246774318164
12943,12.224,12.224,0.0,142.0,5.25,7.583152200054943,4.525373139870892,74.67900185414092,5.092258961681088
12944,5.001777777777777,12.216000000000001,7.214222222222224,85.0,5.26,7.582952789130086,4.525580853202862,74.67979915025106,5.092271919660099
12945,7.224,7.224,0.0,189.0,5.55,7.582925062203689,4.525231279523486,74.68862969256914,5.092307276378804
12946,3.5540492610837435,12.216000000000001,8.661950738916257,28.0,5.26,7.582613880014678,4.525550791337759,74.6850235575809,5.092320228624392
12947,7.8970769230769235,12.216000000000001,4.3189230769230775,60.0,5.25,7.582638166625975,4.525534833065098,74.68388940376892,5.092332406549274
12948,5.330382978723404,12.216000000000001,6.885617021276597,74.0,5.26,7.582464233875345,4.5257170928680335,74.68383658969805,5.092345354853657
12949,8.547529411764705,12.224,3.6764705882352953,44.0,5.25,7.582538756282904,4.525651513987367,74.68146718146718,5.092357528957529
12950,3.574,12.224,8.65,27.0,5.26,7.582229240511436,4.525969971904594,74.67778549918926,5.092370473322523
12951,5.361254901960784,12.216000000000001,6.854745098039217,33.0,5.25,7.582057763184495,4.526149772331257,74.67456763434218,5.092382643607165
12952,6.025652892561983,12.224,6.198347107438017,46.0,5.26,7.581937605315998,4.5262788696318905,74.67235389485062,5.092395584034587
12953,12.224,12.224,0.0,116.0,5.25,7.582295955045401,4.525929457954445,74.67554423344141,5.092407750501776
12954,6.938285714285714,12.216000000000001,5.277714285714287,99.0,5.26,7.582246243718442,4.525987488431308,74.67742184484754,5.092420686993439
12955,5.557333333333333,12.216000000000001,6.658666666666668,12.0,5.25,7.582089952200197,4.52615209781524,74.6725841309046,5.092432849644952
12956,4.211951807228916,12.224,8.012048192771084,34.0,5.26,7.581829850467931,4.526421133556149,74.66944508759744,5.092445782202669
12957,12.224,12.224,0.0,49.0,5.25,7.582188097894195,4.52607181875961,74.66746411483254,5.0924579410402835
12958,3.2010114942528736,12.216000000000001,9.014988505747127,18.0,5.26,7.581850018057507,4.52641821251584,74.66309128790802,5.09247086966587
12959,12.216000000000001,12.216000000000001,0.0,40.0,5.08,7.582207591358583,4.526068951851294,74.66041666666666,5.092469907407407
12960,4.183871485943776,12.224,8.040128514056224,50.0,4.47,7.581945394297754,4.526340077502263,74.65851400354912,5.092421881027699
12961,12.224,12.224,0.0,92.0,5.25,7.582303522256842,4.525990876755658,74.6598518747107,5.092434037957106
12962,4.508263959390863,12.216000000000001,7.707736040609138,46.0,5.26,7.582066382739534,4.526236324967017,74.65764097816863,5.0924469644372445
12963,7.410805194805195,12.208,4.797194805194805,41.0,4.89,7.58205317221902,4.526257225806281,74.655044739278,5.092431348349275
12964,12.216000000000001,12.216000000000001,0.0,288.0,4.35,7.582410591951205,4.525908112252421,74.67150019282684,5.092374084072503
12965,12.224,12.224,0.0,137.0,5.25,7.582768573549852,4.525559052549177,74.67630726515502,5.092386240937838
12966,3.6481486068111453,12.216000000000001,8.567851393188857,48.0,5.26,7.582465140221654,4.525870789445965,74.67425001927971,5.092399167116526
12967,12.216000000000001,12.216000000000001,0.0,53.0,4.89,7.582822445500785,4.5255217864547985,74.67257865515114,5.092383559531154
12968,7.4020465116279075,12.224,4.821953488372093,224.0,4.35,7.582808506420373,4.525544643398427,74.68409283676459,5.092326316601127
12969,12.224,12.224,0.0,13.0,5.25,7.583166346936455,4.525195719370408,74.6793369313801,5.092338473400154
12970,3.5876363636363635,12.224,8.636363636363637,18.0,5.26,7.582858311319825,4.525512670100267,74.67496723460026,5.092351399275306
12971,8.001777777777777,12.216000000000001,4.214222222222224,27.0,5.25,7.582890605450757,4.5254886729951265,74.67129201356768,5.09236355226642
12972,2.8196112852664577,12.224,9.404388714733543,23.0,5.26,7.582523436768095,4.525864754089842,74.66730902643953,5.092376474215678
12973,11.946222222222222,12.216000000000001,0.26977777777777945,36.0,5.25,7.5828597785890794,4.52553670668917,74.66432865731463,5.092388623400647
12974,2.7309124423963134,12.224,9.493087557603687,23.0,5.26,7.582485832744286,4.525919562246081,74.66034682080925,5.0924015414258195
12975,12.224,12.224,0.0,70.0,5.25,7.582843532664697,4.525570770664526,74.65998766954377,5.092413686806412
12976,4.2658848167539265,12.216000000000001,7.950115183246075,41.0,5.26,7.582587929773743,4.5258346640460925,74.65739385065886,5.092426600909301
12977,10.73463829787234,12.216000000000001,1.4813617021276606,41.0,5.25,7.582830806208332,4.525600076824493,74.65480043149947,5.092438742487286
12978,4.2658848167539265,12.224,7.958115183246074,39.0,5.26,7.582575243685068,4.525864543663727,74.65205331689653,5.092451652669697
12979,7.216,7.216,0.0,528.0,4.27,7.5825470021408705,4.525515863806742,74.68697996918335,5.092388289676425
12980,4.256710280373832,12.216000000000001,7.959289719626169,88.0,5.26,7.582290794088966,4.525780386867818,74.68800554656806,5.092401201756412
12981,6.599,12.208,5.609,15.0,5.25,7.582215051461167,4.525863826985915,74.68340779540902,5.092413341549838
12982,3.202260869565217,12.224,9.021739130434783,19.0,5.26,7.581877690744699,4.5262101163877055,74.67911884772394,5.092426249711161
12983,12.224,12.224,0.0,72.0,5.25,7.582235217108628,4.525861517333763,74.67891250770178,5.092438385705484
12984,5.081142857142857,12.216000000000001,7.134857142857144,32.0,5.26,7.582042603141746,4.526062441140118,74.6756257219869,5.092451289949942
12985,6.374943396226415,12.216000000000001,5.841056603773586,24.0,5.25,7.58194964925241,4.526163703589112,74.67172339442476,5.092463422146927
12986,3.103765395894428,12.224,9.120234604105573,31.0,5.26,7.581604828720081,4.526517447402195,74.66836066836066,5.0924763224763225
12987,12.216000000000001,12.216000000000001,0.0,23.0,5.08,7.58196165002985,4.526168932045913,74.66438250692947,5.092475361872497
12988,3.744497409326425,12.224,8.479502590673576,60.0,4.47,7.581666210485567,4.526473292170528,74.66325352221111,5.092427438601893
12989,12.224,12.224,0.0,153.0,5.25,7.582023587990533,4.526124833872439,74.66928406466512,5.092439568899152
