RecipeID,RecipeName,ServingSize,GramsPerServing,Calories,Protein,Total Fat,Saturated Fat,Trans Fat,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Sodium,Cholesterol,sales_item,match_score,needs_review
60119,Pineapple Pepper Fruit Salsa,1 TBSP,21.5,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,2.0,0.0,FRUIT SNACKS,6.0,False
30152,Powerade Fruit Punch Zero,Each,567.0,,,,,,,,,,,,FRUIT SNACKS,6.0,False
60010,Cheese Sandwich,sandwich,113.0,280.0,16.0,10.0,5.0,0.0,35.0,4.0,7.0,3.0,1060.0,30.0,GRILLED CHEESE SANDWICH ELEMENTARY,10.0,False
30001,Chilled Peaches,1/2 cup,124.0,52.0,0.0,0.0,0.0,0.0,14.0,1.0,,,6.0,0.0,GRILLED CHEESE SANDWICH ELEMENTARY,0.0,False
30068,Chilled Peaches,1/4 cup (drained),85.0,41.0,,0.0,0.0,0.0,10.0,1.0,8.0,1.0,3.0,0.0,GRILLED CHEESE SANDWICH ELEMENTARY,0.0,False
sys-15,Fish  Sandwich,Sandwich,159.1,350.0,20.0,13.0,2.0,0.0,40.0,5.0,3.0,3.0,550.0,45.0,GRILLED CHEESE SANDWICH ELEMENTARY,6.0,False
60040,Grilled Cheese Sandwich,Sandwich,118.0,300.0,18.0,11.0,5.0,0.0,38.0,4.0,6.0,0.0,1160.0,30.0,GRILLED CHEESE SANDWICH ELEMENTARY,14.0,False
60214,Tomato Grilled Cheese Sandwich,Each,399.5,482.0,25.0,25.0,9.0,,43.0,7.0,10.0,,886.0,49.0,GRILLED CHEESE SANDWICH ELEMENTARY,14.0,False
60060,Hamburger,Sandwich,120.8,300.0,18.0,13.0,5.0,0.0,28.0,4.0,3.0,3.0,410.0,45.0,HAMBURGER SECONDARY,6.0,False
60149,Hot Turkey & Cheese,sandwich,129.5,270.0,22.0,8.0,3.0,0.0,34.0,4.0,4.0,0.0,960.0,30.0,HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,18.0,False
10045,"Peanut Butter and Jelly Sandwich, IW",Each,73.7,300.0,9.0,17.0,3.0,0.0,32.0,4.0,14.0,12.0,280.0,0.0,HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,10.0,False
30114,SS Baked Cheetos Flaming Hot,Each,24.9,,,,,,,,,,,,HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,6.0,False
30116,SS Cheetos Fantastix Flaming Hot,Each,24.9,,,,,,,,,,,,HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,6.0,False
60009,"Sandwich, Turkey & Cheese",sandwich,127.5,250.0,20.0,7.0,3.0,0.0,31.0,4.0,5.0,3.0,873.0,35.0,HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,18.0,False
60196,"Turkey Bacon, Egg & Cheese Bagel Sandwich",Sandwich,119.8,256.0,12.0,9.0,3.0,,28.0,3.0,3.0,2.0,588.0,19.0,HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,18.0,False
60164,Turkey Sausage Bagel Sandwich,Sandwich,96.7,217.0,11.0,8.0,2.0,0.0,25.0,3.0,2.0,2.0,398.0,37.0,HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,10.0,False
30192,"IZZE, Blackberry",each,238.1,70.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,0.0,10.0,0.0,IZZE DRINK - $1.50,6.0,False
30193,"IZZE, Clementine",each,238.1,70.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,10.0,0.0,IZZE DRINK - $1.50,6.0,False
20076,"DO NOT USE - Peppers, green, pre-sliced",1/2 cup sliced,62.4,12.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,KINDERGARTEN PIN USE TRAINING,6.0,False
20077,"DO NOT USE Peppers, red, pre-sliced",1/2 cup sliced,62.4,12.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,KINDERGARTEN PIN USE TRAINING,6.0,False
30189,"Dressing, Ranch, IW, Fat-Free",each,28.3,,,,,,,,,,,,LACTOSE FREE MILK,6.0,False
20002,Fat Free Chocolate Milk,Each,246.0,130.0,9.0,0.0,0.0,0.0,22.0,0.0,20.0,8.0,249.0,5.0,LACTOSE FREE MILK,10.0,False
